CST XY Data Exchange Format V2

Title    = Probe Value
Xlabel   = Time / ns
Ylabel   = Electric Field / V/m

Curvelabel          = E-Field (25 -10 25)(Abs) [pw]
Filename            = ^E-Field (25 -10 25)(Abs)(pw).sig
Npoints             = 1650
Type                = 8
Subtype             = 7
Result type         = real:cartesian
View type           = Cartesian
Plot type           = Real
Data/Title          = Probe Value
X/Label             = Time
X/Unit              = ns
Y/Label             = Electric Field
Y/Unit              = V/m
Y/Logfactor         = 20
Plot/wrapHeuristics = 0

0	0
0,0022114148318907	0
0,0044228296637815	0
0,0066342444956722	0
0,0088456593275629	0
0,011057074159454	0
0,013268488991344	0
0,015479903823235	0
0,017691318655126	0
0,019902733487017	0
0,022114148318907	0
0,024325563150798	0
0,026536977982689	0
0,028748392814579	0
0,03095980764647	0
0,033171222478361	0
0,035382637310252	0
0,037594052142142	0
0,039805466974033	0
0,042016881805924	0
0,044228296637815	0
0,046439711469705	0
0,048651126301596	0
0,050862541133487	0
0,053073955965378	0
0,055285370797268	0
0,057496785629159	0
0,05970820046105	0
0,06191961529294	0
0,064131030124831	0
0,066342444956722	0
0,068553859788613	0
0,070765274620503	0
0,072976689452394	0
0,075188104284285	2,2986589429757e-32
0,077399519116176	1,1461890135833e-30
0,079610933948066	2,8803455814463e-29
0,081822348779957	4,8636227406041e-28
0,084033763611848	6,2078086614005e-27
0,086245178443738	6,3884234053189e-26
0,088456593275629	5,5213003803505e-25
0,09066800810752	4,1219587008137e-24
0,092879422939411	2,7134670373354e-23
0,095090837771301	1,6000495649966e-22
0,097302252603192	8,5568974132941e-22
0,099513667435083	4,1920814565383e-21
0,10172508226697	1,8970113155495e-20
0,10393649709886	7,9846521680285e-20
0,10614791193076	3,1445486034225e-19
0,10835932676265	1,1646394553742e-18
0,11057074159454	4,074584361749e-18
0,11278215642643	1,351844789867e-17
0,11499357125832	4,2679628333664e-17
0,11720498609021	1,2861760913455e-16
0,1194164009221	3,7099145175233e-16
0,12162781575399	1,026812197698e-15
0,12383923058588	2,7331304910611e-15
0,12605064541777	7,0107222123042e-15
0,12826206024966	1,7362496207913e-14
0,13047347508155	4,1586786940899e-14
0,13268488991344	9,6489450101545e-14
0,13489630474533	2,1718029351157e-13
0,13710771957723	4,7485944278157e-13
0,13931913440912	1,0098568086327e-12
0,14153054924101	2,0912842484034e-12
0,1437419640729	4,2218187455118e-12
0,14595337890479	8,3169383871646e-12
0,14816479373668	1,6003724802413e-11
0,15037620856857	3,0106739959604e-11
0,15258762340046	5,5419149306405e-11
0,15479903823235	9,9898040303004e-11
0,15701045306424	1,7647516294687e-10
0,15922186789613	3,0573893409739e-10
0,16143328272802	5,198204282783e-10
0,16364469755991	8,6790382002682e-10
0,1658561123918	1,4238762545345e-09
0,1680675272237	2,2967268394399e-09
0,17027894205559	3,6443948016956e-09
0,17249035688748	5,6918336884646e-09
0,17470177171937	8,7540992462271e-09
0,17691318655126	1,3265260257898e-08
0,17912460138315	1,98138529363e-08
0,18133601621504	2,9185468277653e-08
0,18354743104693	4,2412812915479e-08
0,18575884587882	6,0833266460508e-08
0,18797026071071	8,6153522646802e-08
0,1901816755426	1,2052037081388e-07
0,19239309037449	1,6659615089037e-07
0,19460450520638	2,2763670921024e-07
0,19681592003827	3,0756892997958e-07
0,19902733487017	4,1106453812653e-07
0,20123874970206	5,4360603754214e-07
0,20345016453395	7,1154004331458e-07
0,20566157936584	9,2211322129551e-07
0,20787299419773	1,1834858446493e-06
0,21008440902962	1,5047177620323e-06
0,21229582386151	1,8957217757376e-06
0,2145072386934	2,3671808086893e-06
0,21671865352529	2,9304245149494e-06
0,21893006835718	3,597264700041e-06
0,22114148318907	4,3797860205019e-06
0,22335289802096	5,290095583783e-06
0,22556431285285	6,3400309958517e-06
0,22777572768474	7,540833646092e-06
0,22998714251664	8,9027914843102e-06
0,23219855734853	1,0434861338441e-05
0,23440997218042	1,2144280731021e-05
0,23662138701231	1,403618186833e-05
0,2388328018442	1,6113220113991e-05
0,24104421667609	1,8375234328388e-05
0,24325563150798	2,0818952472013e-05
0,24546704633987	2,3437765285781e-05
0,24767846117176	2,6221572755755e-05
0,24988987600365	2,9156732693308e-05
0,25210129083554	3,2226102740066e-05
0,25431270566743	3,5409210560304e-05
0,25652412049932	3,8682542081705e-05
0,25873553533121	4,2019939818006e-05
0,26094695016311	4,5393140242464e-05
0,263158364995	4,8772389377407e-05
0,26536977982689	5,2127164120336e-05
0,26758119465878	5,5426958750106e-05
0,26979260949067	5,8642083020666e-05
0,27200402432256	6,1744486326835e-05
0,27421543915445	6,4708525380679e-05
0,27642685398634	6,7511662362484e-05
0,27863826881823	7,0135050092933e-05
0,28084968365012	7,2563954979345e-05
0,28306109848201	7,4788038014192e-05
0,2852725133139	7,6801404022265e-05
0,28748392814579	7,8602485784995e-05
0,28969534297769	8,0193699310306e-05
0,29190675780958	8,1580954257864e-05
0,29411817264147	8,2772996344601e-05
0,29632958747336	8,3780648359008e-05
0,29854100230525	8,4615984546919e-05
0,30075241713714	8,5291473131476e-05
0,30296383196903	8,5819162286484e-05
0,30517524680092	8,6209921150706e-05
0,30738666163281	8,6472796717838e-05
0,3095980764647	8,6614463427034e-05
0,31180949129659	8,6638863948301e-05
0,31402090612848	8,6546974534242e-05
0,31623232096037	8,6336735494647e-05
0,31844373579226	8,6003138103259e-05
0,32065515062416	8,553845924602e-05
0,32286656545605	8,4932611945005e-05
0,32507798028794	8,4173626242495e-05
0,32728939511983	8,3248245960724e-05
0,32950080995172	8,2142563121229e-05
0,33171222478361	8,0842733477169e-05
0,3339236396155	7,9335657282944e-05
0,33613505444739	7,7609593435302e-05
0,33834646927928	7,5654625872943e-05
0,34055788411117	7,3462889534104e-05
0,34276929894306	7,1028477656007e-05
0,34498071377495	6,8346885571605e-05
0,34719212860684	6,5414028663186e-05
0,34940354343874	6,2224727287867e-05
0,35161495827063	5,8770800622656e-05
0,35382637310252	5,503884764518e-05
0,35603778793441	5,1007999145508e-05
0,3582492027663	4,6647934803587e-05
0,36046061759819	4,1917512959321e-05
0,36267203243008	3,6764408501063e-05
0,36488344726197	3,112604276794e-05
0,36709486209386	2,4931990867123e-05
0,36930627692575	1,8107882338901e-05
0,37151769175764	1,0580580799559e-05
0,37372910658953	2,2841924575825e-06
0,37594052142142	6,8337356245883e-06
0,37815193625332	1,6806602800401e-05
0,38036335108521	2,764454348471e-05
0,3825747659171	3,9332361306305e-05
0,38478618074899	5,1830113918357e-05
0,38699759558088	6,5076595786805e-05
0,38920901041277	7,8995576647272e-05
0,39142042524466	9,3504266223454e-05
0,39363184007655	0,00010852317669592
0,39584325490844	0,00012398628789611
0,39805466974033	0,00013985036371103
0,40026608457222	0,00015610226963236
0,40247749940411	0,00017276338472301
0,404688914236	0,00018989048806609
0,40690032906789	0,00020757286766664
0,40911174389979	0,00022592592990793
0,41132315873168	0,00024508175568354
0,41353457356357	0,00026517763449887
0,41574598839546	0,00028634365997961
0,41795740322735	0,00030869066721346
